"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.242827496260027e+00, 3.460287330330777e+02, 3.404613741161824e+01, 2.887092981207316e+05
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.237351328141385e+00, 3.466694449760516e+02, 3.335473629733983e+01, 2.876057740357585e+05
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.231823172612263e+00, 3.472962360084560e+02, 3.263615984873186e+01, 2.864911835333291e+05
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.226219665139120e+00, 3.479057291859440e+02, 3.188790495980500e+01, 2.853603659446778e+05
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.220525459592608e+00, 3.484946266524940e+02, 3.110732821525434e+01, 2.842098540119673e+05
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.214743165101272e+00, 3.490701687688803e+02, 3.029256721961453e+01, 2.830408135076598e+05
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.208841401229326e+00, 3.496230547402672e+02, 2.944013072309638e+01, 2.818459422399024e+05
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.202831043445323e+00, 3.501627972115466e+02, 2.854802085413866e+01, 2.806283455453440e+05
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.196693156095956e+00, 3.506784584242686e+02, 2.761206628377317e+01, 2.793831968036381e+05
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.190451445946211e+00, 3.511780297879376e+02, 2.663048422853830e+01, 2.781161704277382e+05
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.184087462632566e+00, 3.516498023679762e+02, 2.559855512808928e+01, 2.768224711053162e+05
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.177619640969194e+00, 3.520994513966040e+02, 2.451451790733482e+01, 2.755064824982516e+05
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.171056717580739e+00, 3.525151232261174e+02, 2.337320242334313e+01, 2.741690493129013e+05
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.164485639614436e+00, 3.529109849806495e+02, 2.217333529318997e+01, 2.728295303153345e+05
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.157846360197645e+00, 3.532807721510201e+02, 2.091031632568476e+01, 2.714749232875200e+05
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.150747545877099e+00, 3.536278663724794e+02, 1.958124234467704e+01, 2.700243455110982e+05
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.142744532937815e+00, 3.539270070346330e+02, 1.818174181712919e+01, 2.683836348086281e+05
